source,destination,max_stretch,min_stretch,avg_stretch,geodesic_dist_km,max_ISL_dist_km,min_ISL_dist_km,avg_ISL_dist_km,mid_hop_cnt
G-21,G-91,2.347446661001308,1.2699859608910664,2.11005389460713,3813.667259023446,8952.3804733646,4843.303878469691,8047.043452638121,7.0
G-17,G-85,2.203494472405012,1.5800651669745462,1.99166244305052,2706.815853945541,5964.453771987253,4276.94544423381,5391.063476557057,5.5
G-17,G-81,2.387079426361778,1.6725915356375263,2.187850759909787,2393.5179234946204,5713.517391802171,4003.37781923381,5236.660007775401,5.5
G-16,G-24,2.0634307199115156,1.4454451818812857,1.8336121896371311,4721.016381803985,9741.490231419853,6823.970382661189,8656.513185152371,7.0
G-15,G-46,2.2084045676925803,1.2856485691886985,1.8826716326155797,2094.2618240108072,4624.977378089662,2692.4847175460086,3942.807327334908,4.0
G-23,G-26,1.7090093575066596,1.2538915838908826,1.5113776474297382,5156.635742205682,8812.738736682808,6465.862158342618,7793.623996706924,6.0
G-28,G-38,2.247011711272975,1.2874179048369216,1.7999885350184426,2094.644045919145,4706.689702128526,2696.682248976358,3770.3352675991055,4.0
G-56,G-97,1.9946577398272447,1.446035602753417,1.8871668421537002,4185.727903213565,8349.094558955801,6052.711571485223,7899.166909222172,7.0
G-29,G-74,1.953766408450746,1.6193489245145438,1.8636283140565677,5670.422789542596,11078.681567921898,9182.393045788562,10567.560463263208,8.0
G-72,G-79,1.926212845455509,1.22779578036515,1.735187396805382,5245.077899007689,10103.136424483404,6439.884512088147,9101.193065620593,7.0
G-18,G-98,2.0463995287586374,1.1542741530630427,1.7441141181961317,2191.435949845657,4484.553495068889,2529.517875,3822.1143792483604,4.0
G-32,G-74,2.091839118509911,1.3001408325451997,1.9250422564679155,3828.292922392373,8008.172892174992,4977.319947346115,7369.625645742364,6.0
G-69,G-75,1.9800701883754688,1.27891726454926,1.714345937500334,4059.2442124751215,8037.588452457645,5191.437504356098,6958.948824978467,7.0
